,name,pair_address,token_address,created_at
0,robber dog,8Re9oJLHtrXrj6LfG7W2ugmvCygXwSgovSpqkUYhEjm2,9kskv67c4URmBKhpWLsL1UZZjeR8KYm3sRCrh9jBpump,2024-08-10 14:54:19+00:00
1,Decentralized Cat ,E5ocXyctsBpkrj229G4Q6PjRZcVbjHkG97Eat7SCSoJ3,CoydDvTvMnNeK4r4FqUCL1zjLHNY3YFNx5AQ3ny3pump,2024-08-10 16:36:00+00:00
2,DOBBY,6ww8fm39C9shAtTTM3MQFs1BjJ8yxTpKKyt6dBaQzgX,CE4vL9RG7M7hQWeC7pBAN7hxKvhtkaSpApjNVABHTUmb,2024-08-10 16:00:21+00:00
3,Four Horsemen Of Solana ,GsEJoYdRknzWaBpVJuSFtE1ws1cvJUzaekcbWTtNw2C6,7PkAUw9sYRhLbKm31aMqabd8WYTPJjpuFQCsYX1apump,2024-08-10 17:41:53+00:00
4,Solly The Shark,6FQt29srMZL3gnBQ74zkozPXHLCVuTAZpd5FWJHBNXZe,4vgYiF72P5LWCT7faKTXKQtCVJm9x37Ck14Evdz9CgNL,2024-08-10 15:02:40+00:00
5,That's fire,H4eL3xKHbeVW7ytE82NcnTpKXhYRE59mZNm37SHGZb61,4XjbB8QprYnycsFtHcjbHHkB3ytPGCyAcAouN8BUpump,2024-08-10 14:48:35+00:00
6,PINKE,6WVJSSnnSfJqiN19s2cXiHNK2shjgsuq7DNrm8dY5uvS,DjHFyTGgKWFDkSy9jrczYotxnepSmE5ny2fBhaoDpump,2024-08-10 10:26:51+00:00
7,Decentralized Dog ,CdTf46PUfCRJFuP2JtivfTAKmn4dD1kAhXpvKnToPHTV,AnsvmdYfDTg2yhgLRmNPgDk9X19wjoAB1pTphRDdpump,2024-08-10 17:49:18+00:00
8,mousi,GJd2zV55vg6WygZeg8R7RBez5h7q3JR7fgkG8m1SKKGe,ENZvDT9XbJg89MAZVcpSoLoEYYm5z8y49xmLkGEJpump,2024-08-10 18:22:54+00:00
9,wBrett,4FL4bcW7qnWATsZ3oMtvXAQZWrVxft8YKkRSVbp29284,H5onnRVYn58wr4Uw74NqToY5eTuCv6dP8AohxE5Upump,2024-08-10 16:34:45+00:00
