price_b,token_age_b,token_age_s,buys_m5,sells_m5,buys_h1,sells_h1,volume_m5,volume_h1,price_change_m5,price_change_h1,price_change_h6,price_change_h24,liquidity,market_cap,is_telegram,is_twitter,is_website,boosts,telegram_members,twitter_days,twitter_tweets,twitter_followers,twitter_smart_followers,closing_date,sns_held_all,sns_sold_some,sns_sold_all,PNL,PNL_10,PNL_20,PNL_30,PNL_40,PNL_50,PNL_loss_5,PNL_loss_10,price_change_check,tt_f10_bought,tt_f10_sold,sns_f10_bought,sns_f10_sold,sns_no_bought,sns_no_sold,tt_no_bought,tt_no_sold,sns_pnl_loss,tt_pnl_loss
0.000514,30.9,35.87,411.0,212.0,2347.0,1196.0,87364.59,580571.65,-16.77,411.0,411.0,411.0,93963.8,514027.0,1,1,1,1010,0,0,0,0,0,2025-01-22 22:17:22,15,16,69,61.19,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-5.410379094589613,18144.0,54773.0,29175.559999999994,33850.459999999985,2,15,46,0,6,0
0.0007677,30.93,47.42,183.0,183.0,1349.0,984.0,50024.71,434021.16,20.24,375.0,375.0,375.0,114751.97,767765.0,1,1,1,500,0,0,0,0,0,2025-01-22 21:51:37,16,9,75,-35.44,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.6585365853658582,55065.0,89300.0,33000.35999999998,47015.229999999996,2,16,46,0,21,0
0.001264,9.65,30.36,1108.0,410.0,1499.0,628.0,590851.75,777421.55,127.0,681.0,681.0,681.0,148633.34,1264243.0,1,1,0,500,0,0,0,0,0,2025-01-22 21:33:26,16,24,60,-31.8,1.0,1.0,1.0,1.0,0.0,1.0,1.0,39.63764913831197,90628.19,249860.0,66203.34999999998,83288.72000000003,1,17,26,0,27,0
0.0004653,176.93,202.67,49.0,36.0,1022.0,868.0,26633.48,338123.72,24.51,55.89,356.0,356.0,92879.61,465351.0,1,1,1,550,0,0,0,0,0,2025-01-22 20:53:12,12,8,80,60.82,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.509242144177445,68697.33,96819.0,17475.58,26252.500000000004,5,12,14,0,4,0
0.000156,11.93,27.74,176.0,97.0,576.0,263.0,33261.38,171895.32,18.49,26.39,26.39,26.39,51698.06,156036.0,1,1,1,500,0,0,0,0,0,2025-01-22 20:22:30,32,6,62,-31.92,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11.98851399856425,29492.0,62341.85,17855.590000000004,16927.43,5,32,29,0,27,0
0.0002526,8.6,28.3,731.0,493.0,1042.0,652.0,255621.64,354095.89,50.07,136.0,136.0,136.0,65936.08,252608.0,0,1,1,500,0,0,0,0,0,2025-01-22 19:13:42,13,13,74,81.71,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-9.946524064171115,38696.0,93368.0,21413.68999999999,32919.7,23,13,58,0,27,0
0.000914,93.24,118.74,255.0,255.0,1919.0,2177.0,161303.16,832121.53,38.55,295.0,557.0,557.0,128546.36,914060.0,1,1,1,500,0,0,0,0,0,2025-01-22 18:28:06,12,13,75,-21.36,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-5.5101829835624985,76072.0,277633.0,27360.6,107568.10999999999,11,12,21,0,27,0
0.0002789,14.27,53.48,344.0,402.0,1411.0,1399.0,137029.99,762109.72,-6.47,87.48,87.48,87.48,70622.45,278983.0,1,1,1,500,0,0,0,0,0,2025-01-22 16:57:36,26,10,64,60.42,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.7249903437620695,64828.0,242499.01,40846.67,60216.91999999999,2,26,6,0,11,0
0.0002735,27.18,40.07,1002.0,596.0,1712.0,980.0,631511.96,726099.9,22.11,146.0,146.0,146.0,69891.54,273580.0,1,1,1,500,0,0,0,0,0,2025-01-22 15:35:44,20,8,72,-22.6,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,19761.0,55832.0,12333.720000000003,16835.030000000006,10,20,46,0,16,0
0.01111,42497.66,42801.83,9.0,17.0,87.0,102.0,4510.79,58226.23,-1.53,5.97,10.27,27.11,434825.57,11117020.0,1,1,1,500,0,0,0,0,0,2025-01-22 19:31:44,43,15,42,65.26,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3613369467028013,6724702.0,8722493.0,665557.5699999998,1447790.2400000005,5,43,29,0,5,0
